CUI,AUI,ATUI,SATUI,SAB,DEF,SUPPRESS,CVF,CNAME,,,,,,,,,,,,,,,,
C0020538,A7571194,AT198078754,NULL,NCI_CTCAE,A disorder characterized by a pathological increase in blood pressure; a repeatedly elevation in the blood pressure exceeding 140 over 90 mm Hg.,N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A7571194,AT198090904,NULL,NCI_NCI-GLOSS,"A blood pressure of 140/90 or higher. High blood pressure usually has no symptoms. It can harm the arteries and cause an increase in the risk of stroke, heart attack, kidney failure, and blindness.",N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A24672873,AT206290926,NULL,HPO,The presence of chronic increased pressure in the systemic arterial system. [HPO:probinson],N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A7571194,AT210371803,NULL,NCI_NICHD,Abnormally high blood pressure.,N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A21145030,AT230153143,NULL,MEDLINEPLUS,"<p>Blood pressure is the force of your blood pushing against the walls of your arteries. Each time your heart beats, it pumps blood into the arteries. Your blood pressure is highest when your heart beats, pumping the blood. This is called systolic pressure. When your heart is at rest, between beats, your blood pressure falls. This is called diastolic pressure. </p> <p>Your blood pressure reading uses these two numbers. Usually the systolic number comes before or above the diastolic number. A reading of</p> <ul> <li>119/79 or lower is normal blood pressure</li> <li>140/90 or higher is high blood pressure</li> <li>Between 120 and 139 for the top number, or between 80 and 89 for the bottom number is called prehypertension. Prehypertension means you may end up with high blood pressure, unless you take steps to prevent it.</li> </ul> <p>High blood pressure usually has no symptoms, but it can cause serious problems such as <a href='https://medlineplus.gov/stroke.html'>stroke</a>, <a href='https://medlineplus.gov/heartfailure.html'>heart failure</a>, <a href='https://medlineplus.gov/heartattack.html'>heart attack</a> and <a href='https://medlineplus.gov/kidneyfailure.html'>kidney failure</a>.</p> <p>You can control high blood pressure through <a href='https://medlineplus.gov/howtopreventhighbloodpressure.html'>healthy lifestyle habits</a> such as exercise and the <a href='https://medlineplus.gov/dashdiet.html'>DASH diet</a> and taking <a href='https://medlineplus.gov/bloodpressuremedicines.html'>medicines</a>, if needed. </p> <p >NIH: National Heart, Lung, and Blood Institute</p>",N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A0481367,AT32351952,NULL,CSP,persistantly high arterial blood pressure.,N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A0070978,AT43117802,NULL,MSH,"Persistently high systemic arterial BLOOD PRESSURE. Based on multiple readings (BLOOD PRESSURE DETERMINATION), hypertension is currently defined as when SYSTOLIC PRESSURE is consistently greater than 140 mm Hg or when DIASTOLIC PRESSURE is consistently 90 mm Hg or more.",N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0021400,A10761239,AT210371900,NULL,NCI_NICHD,"An acute viral infection of the respiratory tract, occurring in isolated cases, in epidemics, or in pandemics; it is caused by serologically different strains of viruses (influenzaviruses) designated A, B, and C, has a 3-day incubation period, and usually lasts for 3 to 10 days. It is marked by inflammation of the nasal mucosa, pharynx, and conjunctiva; headache; myalgia; often fever, chills, and prostration; and occasionally involvement of the myocardium or central nervous system.",N,NULL,Influenza,,,,,,,,,,,,,,,,
C0021400,A21143003,AT220105215,NULL,MEDLINEPLUS,"<p>Flu is a respiratory infection caused by a number of viruses. The viruses pass through the air and enter your body through your nose or mouth. Between 5% and 20% of people in the U.S. get the flu each year. The flu can be serious or even deadly for elderly people, newborn babies, and people with certain chronic illnesses.</p> <p>Symptoms of the flu come on suddenly and are worse than those of the common cold. They may include </p> <ul> <li>Body or muscle aches</li> <li>Chills </li> <li>Cough </li> <li>Fever </li> <li>Headache </li> <li>Sore throat </li> </ul> <p>Is it a <a href='https://medlineplus.gov/commoncold.html'>cold</a> or the flu? Colds rarely cause a fever or headaches. Flu almost never causes an upset stomach. And stomach flu"" isn't really flu at all",but <a href='https://medlineplus.gov/gastroenteritis.html'>gastroenteritis</a>.</p> <p>Most people with the flu recover on their own without medical care. People with mild cases of the flu should stay home and avoid contact with others,except to get medical care. If you get the flu,Influenza,including hand washing,"can also help.</p> <p >NIH: National Institute of Allergy and Infectious Diseases</p>""",N,NULL,,,,,,,,,,,,
C0021400,A10761239,AT230073999,NULL,NCI,"An acute viral infection of the respiratory tract, occurring in isolated cases, in epidemics, or in pandemics; it is caused by serologically different strains of viruses (influenzaviruses) designated A, B, and C, has a 3-day incubation period, and usually lasts for 3 to 10 days. It is marked by inflammation of the nasal mucosa, pharynx, and conjunctiva; headache; myalgia; often fever, chills, and prostration; and occasionally involvement of the myocardium or central nervous system.",N,NULL,Influenza,,,,,,,,,,,,,,,,
C0021400,A0481781,AT51224296,NULL,CSP,"acute viral infection involving the respiratory tract; marked by inflammation of the nasal mucosa, the pharynx, and conjunctiva, and by headache and severe, often generalized, myalgia.",N,NULL,Influenza,,,,,,,,,,,,,,,,
C0021400,A8599384,AT56871674,NULL,MSH,"An acute viral infection in humans involving the respiratory tract. It is marked by inflammation of the NASAL MUCOSA; the PHARYNX; and conjunctiva, and by headache and severe, often generalized, myalgia.",N,NULL,Influenza,,,,,,,,,,,,,,,,
C0024117,A10760421,AT198017269,NULL,NCI_NCI-GLOSS,"A type of lung disease marked by permanent damage to tissues in the lungs, making it hard to breathe. Chronic obstructive pulmonary disease includes chronic bronchitis, in which the bronchi (large air passages) are inflamed and scarred, and emphysema, in which the alveoli (tiny air sacs) are damaged. It develops over many years and is usually caused by cigarette smoking.",N,NULL,Chronic Obstructive Airway Disease,,,,,,,,,,,,,,,,
C0024117,A10760421,AT198115703,NULL,NCI,"A chronic and progressive lung disorder characterized by the loss of elasticity of the bronchial tree and the air sacs, destruction of the air sacs wall, thickening of the bronchial wall, and mucous accumulation in the bronchial tree. The pathologic changes result in the disruption of the air flow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough, and chest tightness. The two main types of chronic obstructive pulmonary disease are chronic obstructive bronchitis and emphysema.",N,NULL,Chronic Obstructive Airway Disease,,,,,,,,,,,,,,,,
C0024117,A24183307,AT220105859,NULL,MEDLINEPLUS,"<p>COPD (chronic obstructive pulmonary disease) makes it hard for you to breathe. The two main types are <a href='https://medlineplus.gov/chronicbronchitis.html'>chronic bronchitis</a> and <a href='https://medlineplus.gov/emphysema.html'>emphysema</a>. The main cause of COPD is long-term exposure to substances that irritate and damage the lungs. This is usually cigarette smoke. Air pollution, chemical fumes, or dust can also cause it.</p> <p>At first, COPD may cause no symptoms or only mild symptoms. As the disease gets worse, symptoms usually become more severe. They include</p> <ul> <li>A cough that produces a lot of mucus</li> <li>Shortness of breath, especially with physical activity</li> <li>Wheezing</li> <li>Chest tightness</li> </ul> <p>Doctors use lung function tests, imaging tests, and blood tests to diagnose COPD. There is no cure. Treatments may relieve symptoms. They include medicines, oxygen therapy, surgery, or a lung transplant. <a href='https://medlineplus.gov/quittingsmoking.html'>Quitting smoking</a> is the most important step you can take to treat COPD. </p> <p >NIH: National Heart, Lung, and Blood Institute</p>",N,NULL,Chronic Obstructive Airway Disease,,,,,,,,,,,,,,,,
C0024117,A24666862,AT225123238,NULL,HPO,"An anomaly that is characterized progressive airflow obstruction that is only partly reversible, inflammation in the airways, and systemic effects or comorbities. [PMID:25943942]",N,NULL,Chronic Obstructive Airway Disease,,,,,,,,,,,,,,,,
C0024117,A0594783,AT32351267,NULL,CSP,"chronic, irreversible obstruction of air flow from the lungs.",N,NULL,Chronic Obstructive Airway Disease,,,,,,,,,,,,,,,,
C0024117,A0107746,AT38148619,NULL,MSH,A disease of chronic diffuse irreversible airflow obstruction. Subcategories of COPD include CHRONIC BRONCHITIS and PULMONARY EMPHYSEMA.,N,NULL,Chronic Obstructive Airway Disease,,,,,,,,,,,,,,,,
C0027051,A7572328,AT198004439,NULL,NCI_FDA,"Gross necrosis of the myocardium, as a result of interruption of the blood supply to the area, as in coronary thrombosis.",N,NULL,Myocardial Infarction,,,,,,,,,,,,,,,,
C0027051,A7572328,AT198103015,NULL,NCI_CTCAE,A disorder characterized by gross necrosis of the myocardium; this is due to an interruption of blood supply to the area.,N,NULL,Myocardial Infarction,,,,,,,,,,,,,,,,
C0027051,A7572328,AT198115335,NULL,NCI,"Gross necrosis of the myocardium, as a result of interruption of the blood supply to the area, as in coronary thrombosis.",N,NULL,Myocardial Infarction,,,,,,,,,,,,,,,,
C0027051,A24677577,AT206288500,NULL,HPO,"Necrosis of the myocardium caused by an obstruction of the blood supply to the heart and often associated with chest pain, shortness of breath, palpitations, and anxiety as well as characteristic EKG findings and elevation of serum markers including creatine kinase-MB fraction and troponin. [HPO:probinson]",N,NULL,Myocardial Infarction,,,,,,,,,,,,,,,,
C0027051,A7572328,AT210377531,NULL,NCI_NICHD,"Necrosis of the myocardium, as a result of interruption of the blood supply to the area.",N,NULL,Myocardial Infarction,,,,,,,,,,,,,,,,
C0027051,A21145021,AT230153433,NULL,MEDLINEPLUS,"<p>Each year almost 800,000 Americans have a heart attack. A heart attack happens when blood flow to the heart suddenly becomes blocked. Without the blood coming in, the heart can't get oxygen. If not treated quickly, the heart muscle begins to die. But if you do get quick treatment, you may be able prevent or limit damage to the heart muscle. That's why it's important to know the symptoms of a heart attack and call 9-1-1 if you or someone else is having them. You should call, even if you are not sure that it is a heart attack.</p> <p>The most common symptoms in men and women are</p> <ul> <li><strong>Chest discomfort.</strong> It is often in center or left side of the chest. It usually lasts more than a few minutes. It may go away and come back. It can feel like pressure, squeezing, fullness, or <a href='https://medlineplus.gov/chestpain.html'>pain</a>. It also can feel like heartburn or indigestion.</li> <li><strong>Shortness of breath.</strong> Sometimes this is your only symptom. You may get it before or during the chest discomfort. It can happen when you are resting or doing a little bit of physical activity.</li> <li><strong>Discomfort in the upper body.</strong> You may feel pain or discomfort in one or both arms, the back, shoulders, neck, jaw, or upper part of the stomach.</li> </ul> <p>You may also have other symptoms, such as nausea, vomiting, dizziness, and lightheadedness. You may break out in a cold sweat. Sometimes <a href='https://medlineplus.gov/heartdiseaseinwomen.html'>women</a> will have different symptoms then men. For example, they are more likely to feel tired for no reason.</p> <p>The most common cause of heart attacks is <a href='https://medlineplus.gov/coronaryarterydisease.html'>coronary artery disease</a> (CAD). With CAD, there is a buildup of cholesterol and other material, called plaque, on their inner walls or the arteries. This is <a href='https://medlineplus.gov/atherosclerosis.html'>atherosclerosis</a>. It can build up for years. Eventually an area of plaque can rupture (break open). A <a href='https://medlineplus.gov/bloodclots.html'>blood clot</a> can form around the plaque and block the artery.</p> <p>A less common cause of heart attack is a severe spasm (tightening) of a coronary artery. The spasm cuts off blood flow through the artery.</p> <p>At the hospital, health care providers make a diagnosis based on your symptoms, blood tests, and different <a href='https://medlineplus.gov/hearthealthtests.html'>heart health tests</a>. Treatments may include medicines and medical procedures such as <a href='https://medlineplus.gov/angioplasty.html'>coronary angioplasty</a>. After a heart attack, <a href='https://medlineplus.gov/cardiacrehabilitation.html'>cardiac rehabilitation</a> and lifestyle changes can help you recover.</p> <p >NIH: National Heart, Lung, and Blood Institute</p>",N,NULL,Myocardial Infarction,,,,,,,,,,,,,,,,
C0027051,A0484367,AT51225049,NULL,CSP,"gross necrosis of the myocardium, as a result of interruption of the blood supply to the area.",N,NULL,Myocardial Infarction,,,,,,,,,,,,,,,,
C0027051,A0089429,AT73554011,NULL,MSH,NECROSIS of the MYOCARDIUM caused by an obstruction of the blood supply to the heart (CORONARY CIRCULATION).,N,NULL,Myocardial Infarction,,,,,,,,,,,,,,,,
C0028754,A7572602,AT198004911,NULL,NCI_NCI-GLOSS,"A condition marked by an abnormally high, unhealthy amount of body fat.",N,NULL,Obesity,,,,,,,,,,,,,,,,
C0028754,A7572602,AT198090961,NULL,NCI_CTCAE,A disorder characterized by having a high amount of body fat.,N,NULL,Obesity,,,,,,,,,,,,,,,,
C0028754,A7572602,AT198128155,NULL,NCI,Having a high amount of body fat (body mass index [BMI] of 30 or more).,N,NULL,Obesity,,,,,,,,,,,,,,,,
C0028754,A24670765,AT225120717,NULL,HPO,Accumulation of substantial excess body fat. [],N,NULL,Obesity,,,,,,,,,,,,,,,,
C0028754,A21145118,AT230153830,NULL,MEDLINEPLUS,"<p>Obesity means having too much body fat. It is different from being overweight, which means weighing too much. The weight may come from muscle, bone, fat, and/or body water. Both terms mean that a person's weight is greater than what's considered healthy for his or her height. </p> <p>Obesity happens over time when you eat more calories than you use. The balance between calories-in and calories-out differs for each person. Factors that might affect your weight include your genetic makeup, overeating, eating high-fat foods, and not being physically active. </p> <p>Obesity increases your risk of diabetes, heart disease, stroke, arthritis, and some cancers. If you have obesity, losing even 5 to 10 percent of your weight can delay or prevent some of these diseases. For example, that means losing 10 to 20 pounds if you weigh 200 pounds.</p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>",N,NULL,Obesity,,,,,,,,,,,,,,,,
C0028754,A0485044,AT51224669,NULL,CSP,excessively high accumulation of body fat or adipose tissue in relation to lean body mass; the amount of body fat (or adiposity) includes concern for both the distribution of fat throughout the body and the size of the adipose tissue deposits; individuals are usually at high clinical risk because of excess amount of body fat (BMI greater than 30).,N,NULL,Obesity,,,,,,,,,,,,,,,,
C0028754,A0093894,AT53894455,NULL,MSH,"A status with BODY WEIGHT that is grossly above the acceptable or desirable weight, usually due to accumulation of excess FATS in the body. The standards may vary with age, sex, genetic or cultural background. In the BODY MASS INDEX, a BMI greater than 30.0 kg/m2 is considered obese, and a BMI greater than 40.0 kg/m2 is considered morbidly obese (MORBID OBESITY).",N,NULL,Obesity,,,,,,,,,,,,,,,,
C0038454,A7578024,AT198017406,NULL,NCI_NCI-GLOSS,"In medicine, a loss of blood flow to part of the brain, which damages brain tissue. Strokes are caused by blood clots and broken blood vessels in the brain. Symptoms include dizziness, numbness, weakness on one side of the body, and problems with talking, writing, or understanding language. The risk of stroke is increased by high blood pressure, older age, smoking, diabetes, high cholesterol, heart disease, atherosclerosis (a build-up of fatty material and plaque inside the coronary arteries), and a family history of stroke.",N,NULL,Cerebrovascular accident,,,,,,,,,,,,,,,,
C0038454,A7578024,AT198066612,NULL,NCI_CDISC,"An acute episode of focal or global neurological dysfunction caused by presumed brain, spinal cord, or retinal vascular injury as a result of hemorrhage or infarction but with insufficient information to allow categorization as ischemic or hemorrhagic.",N,NULL,Cerebrovascular accident,,,,,,,,,,,,,,,,
C0038454,A7578024,AT198115841,NULL,NCI_CTCAE,A disorder characterized by a sudden loss of sensory function due to an intracranial vascular event.,N,NULL,Cerebrovascular accident,,,,,,,,,,,,,,,,
C0038454,A7578024,AT205727054,NULL,NCI,A sudden loss of neurological function secondary to hemorrhage or ischemia in the brain parenchyma due to a vascular event.,N,NULL,Cerebrovascular accident,,,,,,,,,,,,,,,,
C0038454,A24666104,AT206296268,NULL,HPO,Sudden impairment of blood flow to a part of the brain due to occlusion or rupture of an artery to the brain. [HPO:probinson],N,NULL,Cerebrovascular accident,,,,,,,,,,,,,,,,
C0038454,A7578024,AT210371840,NULL,NCI_NICHD,Brain tissue necrosis due to a disturbance in the blood flow or hemorrhage.,N,NULL,Cerebrovascular accident,,,,,,,,,,,,,,,,
C0038454,A21144374,AT220104121,NULL,MEDLINEPLUS,"<p>A stroke is a medical emergency. Strokes happen when blood flow to your brain stops. Within minutes, brain cells begin to die. There are two kinds of stroke. The more common kind, called <a href='https://medlineplus.gov/ischemicstroke.html'>ischemic stroke</a>, is caused by a <a href='https://medlineplus.gov/bloodclots.html'>blood clot</a> that blocks or plugs a blood vessel in the brain. The other kind, called <a href='https://medlineplus.gov/hemorrhagicstroke.html'>hemorrhagic stroke</a>, is caused by a blood vessel that breaks and bleeds into the brain. Mini-strokes"" or <a href='https://medlineplus.gov/transientischemicattack.html'>transient ischemic attacks</a> (TIAs)",occur when the blood supply to the brain is briefly interrupted.</p> <p>Symptoms of stroke are </p> <ul> <li>Sudden numbness or weakness of the face,arm or leg (especially on one side of the body)</li> <li>Sudden confusion,Cerebrovascular accident,dizziness,loss of balance or coordination</li> <li>Sudden severe headache with no known cause</li> </ul> <p>If you have any of these symptoms,"you must get to a hospital quickly to begin treatment. Acute stroke therapies try to stop a stroke while it is happening by quickly dissolving the blood clot or by stopping the bleeding. <a href='https://medlineplus.gov/strokerehabilitation.html'>Post-stroke rehabilitation</a> helps individuals overcome disabilities that result from stroke damage. Drug therapy with <a href='https://medlineplus.gov/bloodthinners.html'>blood thinners</a> is the most common treatment for stroke. </p> <p >NIH: National Institute of Neurological Disorders and Stroke</p>""",N,NULL,,,,,,,,,,,
C0038454,A0489698,AT51223654,NULL,CSP,"sudden neurologic impairment due to a cerebrovascular disorder, either an arterial occlusion or an intracranial hemorrhage.",N,NULL,Cerebrovascular accident,,,,,,,,,,,,,,,,
C0038454,A12985603,AT73530500,NULL,MSH,"A group of pathological conditions characterized by sudden, non-convulsive loss of neurological function due to BRAIN ISCHEMIA or INTRACRANIAL HEMORRHAGES. Stroke is classified by the type of tissue NECROSIS, such as the anatomic location, vasculature involved, etiology, age of the affected individual, and hemorrhagic vs. non-hemorrhagic nature. (From Adams et al., Principles of Neurology, 6th ed, pp777-810)",N,NULL,Cerebrovascular accident,,,,,,,,,,,,,,,,
C0041296,A21145596,AT203072694,NULL,MEDLINEPLUS,"<p>Tuberculosis (TB) is a disease caused by bacteria called Mycobacterium tuberculosis. The bacteria usually attack the lungs, but they can also damage other parts of the body. </p> <p>TB spreads through the air when a person with TB of the lungs or throat coughs, sneezes, or talks. If you have been exposed, you should go to your doctor for tests. You are more likely to get TB if you have a weak immune system.</p> <p>Symptoms of TB in the lungs may include</p> <ul> <li> A bad cough that lasts 3 weeks or longer</li> <li> Weight loss</li> <li> Loss of appetite</li> <li> Coughing up blood or mucus</li> <li> Weakness or fatigue </li> <li> Fever</li> <li> Night sweats</li> </ul> <p>Skin tests, blood tests, x-rays, and other tests can tell if you have TB. If not treated properly, TB can be deadly. You can usually cure active TB by taking several medicines for a long period of time.</p> <p >NIH: National Institute of Allergy and Infectious Diseases</p>",N,NULL,Tuberculosis,,,,,,,,,,,,,,,,
C0041296,A7574267,AT205728960,NULL,NCI,"A chronic, recurrent infection caused by the bacterium Mycobacterium tuberculosis. Tuberculosis (TB) may affect almost any tissue or organ of the body with the lungs being the most common site of infection. The clinical stages of TB are primary or initial infection, latent or dormant infection, and recrudescent or adult-type TB. Ninety to 95% of primary TB infections may go unrecognized. Histopathologically, tissue lesions consist of granulomas which usually undergo central caseation necrosis. Local symptoms of TB vary according to the part affected; acute symptoms include hectic fever, sweats, and emaciation; serious complications include granulomatous erosion of pulmonary bronchi associated with hemoptysis. If untreated, progressive TB may be associated with a high degree of mortality. This infection is frequently observed in immunocompromised individuals with AIDS or a history of illicit IV drug use.",N,NULL,Tuberculosis,,,,,,,,,,,,,,,,
C0041296,A7574267,AT210366075,NULL,NCI_NICHD,"A disease caused by Mycobacterium tuberculosis infection that is characterized by the growth of nodules in body tissues, most commonly the lungs, and may be transmitted through droplets from the throat or lungs of individuals with the active respiratory disease.",N,NULL,Tuberculosis,,,,,,,,,,,,,,,,
C0041296,A0129251,AT226458857,NULL,MSH,Any of the infectious diseases of man and other animals caused by species of MYCOBACTERIUM TUBERCULOSIS.,N,NULL,Tuberculosis,,,,,,,,,,,,,,,,
C0041296,A0491021,AT51221240,NULL,CSP,infectious diseases of man and animals caused by Mycobacterium species and characterized by formation of tubercles and caseous necrosis in the tissues; any organ may be affected but in man the lung is the major seat of the disease and the usual portal through which the infection reaches other organs.,N,NULL,Tuberculosis,,,,,,,,,,,,,,,,
C0178316,A7628415,AT219996741,NULL,NCI,"A traumatic break in one or more of the bones in the arm, forearm, or hand.",N,NULL,Fracture of upper limb,,,,,,,,,,,,,,,,
C0178316,A7613497,AT220004222,NULL,NCI,A traumatic break in one or more of the bones in the arm or forearm.,N,NULL,Fracture of upper limb,,,,,,,,,,,,,,,,
C0235974,A7613572,AT197955515,NULL,NCI,A carcinoma arising from the exocrine pancreas. The overwhelming majority of pancreatic carcinomas are adenocarcinomas.,N,NULL,Pancreatic Carcinoma,,,,,,,,,,,,,,,,
C0235974,A7613572,AT198128543,NULL,NCI_NCI-GLOSS,A disease in which malignant (cancer) cells are found in the tissues of the pancreas.,N,NULL,Pancreatic Carcinoma,,,,,,,,,,,,,,,,
C0424605,A24370074,AT205726113,NULL,NCI,"Failure to meet, or late achievement of developmental milestones.",N,NULL,Developmental Delay,,,,,,,,,,,,,,,,
C0424605,A24370074,AT210373564,NULL,NCI_NICHD,"Failure to meet, or late achievement of developmental milestones.",N,NULL,Developmental Delay,,,,,,,,,,,,,,,,